"weekday","hour"
5,16
5,18
5,19
6,9
1,11
1,14
2,16
2,17
3,8
3,10
3,19
3,19
3,22
3,22
3,22
6,0
6,0
6,21
6,19
1,7
1,19
2,15
2,18
6,18
7,16
3,15
3,20
3,21
6,8
6,9
1,11
2,19
2,19
4,19
6,18
1,11
1,12
1,20
2,12
5,14
5,14
5,14
5,14
6,13
6,15
3,16
4,19
4,22
5,9
5,12
6,9
1,18
2,16
3,19
4,21
6,17
3,4
7,4
2,21
3,14
5,16
1,14
7,17
1,10
6,9
2,15
1,16
1,16
2,8
6,22
5,15
5,15
6,12
7,11
1,11
2,21
6,15
6,15
7,20
7,20
1,10
3,22
3,10
3,11
3,11
3,14
5,10
7,16
7,17
1,11
1,16
2,12
3,11
3,11
5,21
6,9
6,16
7,19
1,10
2,11
3,14
5,11
5,19
6,22
